/home/nbes/LCA/Visuals.py:32: MatplotlibDeprecationWarning: Adding an axes using the same arguments as a previous axes currently reuses the earlier instance.  In a future version, a new instance will always be created and returned.  Meanwhile, this warning can be suppressed, and the future behavior ensured, by passing a unique label to each axes instance.
  fig.add_axes(ax)
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 180 (seed=739435, Wed Sep 18 09:58:44 2024)
G:161, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:162, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:163, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:164, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:165, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:166, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:167, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:168, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:169, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:170, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:171, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:172, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:173, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:174, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:175, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:176, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:177, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:178, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:179, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:180, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
G:181, BEST PARAMS, BEST REWARD: 0.01763872255529468, CURRENT REWARD: 0.01763872255529468
