[[0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [1. 1. 1. 1. 1. 1. 1.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0.]]
(50_w,100)-aCMA-ES (mu_w=27.0,w_1=8%) in dimension 144 (seed=343585, Wed Sep 25 12:52:23 2024)
G:169, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:170, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:171, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:172, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:173, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:174, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:175, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:176, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:177, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:178, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:179, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:180, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:181, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:182, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:183, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:184, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:185, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:186, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:187, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:188, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:189, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:190, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:191, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:192, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:193, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:194, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:195, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:196, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:197, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:198, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:199, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:200, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:201, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:202, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:203, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:204, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:205, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:206, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:207, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:208, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:209, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:210, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:211, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:212, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:213, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:214, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:215, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:216, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:217, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:218, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:219, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:220, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:221, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:222, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:223, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:224, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:225, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:226, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:227, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:228, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:229, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:230, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:231, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:232, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:233, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:234, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:235, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:236, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:237, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:238, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:239, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:240, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
G:241, BEST PARAMS, BEST REWARD: -0.062063766517475284, CURRENT REWARD: -0.062063766517475284
